age,income,loan_amount,interest_rate,term_months,dti,delinquencies,credit_history_years,home_ownership,purpose,employment_length,default
25,39509.42,16038.26,18.93,60,13.61,0,5.1,MORTGAGE,debt_consolidation,5-10,0
58,78161.26,7706.51,14.55,36,22.08,0,12.0,RENT,other,5-10,0
53,35946.07,21244.33,21.85,60,35.81,0,10.1,MORTGAGE,other,0-1,0
42,54272.68,3413.14,8.87,36,17.99,1,14.3,MORTGAGE,other,1-3,0
42,48278.97,24933.1,5.0,36,3.85,0,11.4,RENT,debt_consolidation,5-10,1
63,63286.41,11726.0,12.03,60,18.4,0,6.6,OWN,home_improvement,0-1,0
25,47190.2,3778.47,10.9,36,19.21,0,13.2,RENT,credit_card,10+,0
55,54582.13,27759.49,14.61,36,3.79,1,9.1,OWN,credit_card,5-10,0
30,55277.4,14461.26,16.3,36,24.32,1,11.2,MORTGAGE,credit_card,10+,1
25,45312.24,30261.09,11.65,36,27.06,0,10.9,MORTGAGE,other,5-10,0
46,69701.88,24770.85,11.04,60,40.6,0,7.5,MORTGAGE,major_purchase,10+,0
68,64767.77,8614.83,14.09,36,8.68,0,8.4,RENT,small_business,5-10,0
57,58227.72,14320.08,10.97,60,29.31,0,7.5,MORTGAGE,debt_consolidation,1-3,0
58,51390.83,15968.3,10.64,36,31.67,1,4.6,MORTGAGE,credit_card,5-10,0
56,75930.88,27210.43,16.15,60,27.2,0,0.5,RENT,credit_card,1-3,0
59,55283.32,18500.14,17.04,60,11.93,0,5.2,MORTGAGE,home_improvement,3-5,0
46,53866.05,16410.34,16.34,60,11.35,0,8.8,RENT,small_business,1-3,0
27,62093.8,13400.96,11.33,36,22.97,0,12.3,RENT,debt_consolidation,5-10,1
62,93931.73,14595.54,5.0,36,22.9,0,11.2,MORTGAGE,debt_consolidation,5-10,0
43,33192.88,25436.74,11.41,60,16.41,0,6.9,RENT,small_business,10+,0
45,75397.14,15029.64,8.97,60,34.92,1,5.3,RENT,credit_card,1-3,0
39,22136.58,11840.02,11.48,36,17.99,0,7.3,RENT,credit_card,10+,0
29,64345.46,10483.94,9.32,36,3.06,0,4.1,MORTGAGE,small_business,5-10,0
66,91501.66,10569.88,11.92,60,19.76,0,0.5,RENT,major_purchase,3-5,0
59,69773.37,3783.23,7.84,36,26.8,0,1.8,RENT,major_purchase,1-3,0
52,63412.5,8997.0,6.88,36,25.42,1,13.5,RENT,debt_consolidation,1-3,0
40,48791.01,26987.36,16.89,60,25.34,1,15.4,RENT,home_improvement,0-1,0
61,60620.94,13347.21,8.12,36,36.94,1,11.0,RENT,credit_card,3-5,1
47,54958.74,20635.29,12.0,36,10.85,0,7.8,MORTGAGE,home_improvement,0-1,0
42,44280.47,1000.0,15.82,60,17.76,0,2.4,MORTGAGE,credit_card,3-5,0
43,54202.49,19546.49,15.66,36,37.45,0,7.4,MORTGAGE,debt_consolidation,5-10,0
32,63967.62,13709.18,15.18,36,2.33,0,10.4,MORTGAGE,debt_consolidation,3-5,0
25,44655.66,11148.48,13.21,36,21.46,0,11.3,RENT,credit_card,10+,0
48,43874.36,16447.68,14.9,36,34.29,0,10.8,RENT,credit_card,1-3,0
64,32795.13,11033.4,17.49,36,34.14,0,12.8,OWN,debt_consolidation,3-5,0
24,67814.5,1000.0,13.7,60,28.6,1,15.8,RENT,small_business,10+,0
63,70906.47,22377.98,5.0,36,28.85,1,6.4,MORTGAGE,debt_consolidation,1-3,1
61,64633.21,16944.14,9.89,36,11.59,0,19.2,RENT,credit_card,3-5,0
34,79303.41,12488.46,14.79,60,35.73,1,0.5,MORTGAGE,home_improvement,10+,0
51,61757.35,7270.52,9.49,36,10.0,2,4.9,RENT,home_improvement,3-5,0
29,67840.22,3241.14,18.48,36,10.6,0,8.8,OWN,credit_card,10+,0
58,66076.75,16791.14,11.75,36,25.88,0,10.2,OTHER,debt_consolidation,10+,0
55,58169.2,27907.53,12.34,36,17.07,0,7.3,RENT,debt_consolidation,1-3,0
38,49383.56,16625.33,16.5,36,24.07,0,6.0,RENT,debt_consolidation,5-10,0
24,104283.05,3937.91,11.27,36,26.31,0,16.8,RENT,debt_consolidation,5-10,0
68,50960.98,16800.93,12.71,60,39.78,0,5.8,RENT,home_improvement,10+,0
42,46682.45,14573.26,15.6,60,26.34,0,3.9,OWN,credit_card,3-5,0
64,68680.2,21912.35,6.11,60,15.81,1,14.8,OTHER,debt_consolidation,5-10,0
54,65037.09,19853.87,10.86,36,28.76,1,11.4,MORTGAGE,home_improvement,1-3,0
59,31904.17,1000.0,15.32,60,13.68,0,12.4,MORTGAGE,debt_consolidation,3-5,0
58,82453.57,19361.94,12.26,36,31.13,0,8.8,MORTGAGE,other,5-10,0
30,58116.11,6972.16,17.87,36,22.65,1,2.5,RENT,credit_card,10+,1
38,37781.38,3626.17,5.7,60,26.01,0,8.3,MORTGAGE,credit_card,1-3,0
43,83775.68,13492.21,5.24,60,4.19,0,1.9,OWN,debt_consolidation,0-1,0
45,72513.51,18287.77,15.08,36,0.0,0,9.0,RENT,credit_card,10+,0
23,34709.16,1874.12,15.46,60,6.99,0,10.6,MORTGAGE,credit_card,3-5,0
47,95543.66,20636.61,11.23,36,39.46,0,12.3,OWN,other,0-1,0
28,73175.95,21106.71,13.6,36,10.52,0,7.6,RENT,debt_consolidation,3-5,0
57,59796.08,15375.81,14.98,36,29.32,1,11.0,MORTGAGE,credit_card,10+,1
54,91804.38,8059.01,8.74,36,15.58,0,4.4,RENT,major_purchase,10+,1
66,63185.96,7164.98,9.17,60,19.6,0,11.9,RENT,credit_card,1-3,0
57,59438.34,23207.46,12.76,36,21.55,1,10.7,RENT,credit_card,5-10,0
38,46794.0,2910.22,15.62,36,38.44,0,4.8,MORTGAGE,other,3-5,0
68,71637.01,23515.76,7.34,60,27.85,0,10.1,RENT,credit_card,3-5,0
41,69532.06,13678.41,11.21,60,25.85,1,12.4,RENT,debt_consolidation,5-10,0
36,60293.6,14233.32,11.02,60,34.97,1,8.3,RENT,other,1-3,0
65,44200.27,1335.3,13.67,60,15.67,0,4.7,RENT,debt_consolidation,3-5,0
39,62598.6,13826.27,11.97,60,32.68,0,8.7,OWN,major_purchase,1-3,0
24,58604.02,19908.68,9.82,60,31.01,0,10.2,OWN,debt_consolidation,1-3,1
44,33330.51,4308.72,16.99,36,30.9,0,4.7,RENT,debt_consolidation,1-3,0
59,30563.75,18989.09,9.84,60,20.45,0,4.0,RENT,credit_card,10+,0
30,71303.07,15712.1,10.83,36,17.63,0,10.1,RENT,small_business,3-5,0
43,15000.0,9849.96,5.63,36,13.3,0,11.3,OWN,debt_consolidation,5-10,0
27,64108.21,21837.38,9.15,36,13.93,0,16.6,MORTGAGE,debt_consolidation,1-3,0
54,50438.34,1000.0,14.06,36,12.83,0,10.7,RENT,debt_consolidation,10+,1
44,86164.93,17773.45,13.28,60,25.67,0,3.2,RENT,debt_consolidation,5-10,0
37,50130.64,27955.48,14.4,60,19.72,0,16.2,RENT,debt_consolidation,10+,0
32,73189.68,26519.55,14.2,36,26.31,0,12.2,MORTGAGE,other,1-3,0
48,52061.72,18118.45,20.35,36,26.88,0,0.5,RENT,home_improvement,3-5,0
53,62274.96,12586.55,9.01,36,11.4,1,3.9,MORTGAGE,debt_consolidation,1-3,0
67,74736.73,9913.58,5.52,60,11.1,0,6.0,MORTGAGE,debt_consolidation,1-3,0
42,50748.89,12576.59,7.8,36,19.71,1,11.4,RENT,debt_consolidation,3-5,0
28,79931.1,19350.46,9.19,36,14.25,0,0.5,OWN,credit_card,5-10,0
61,40126.04,8542.05,8.1,60,13.2,0,7.5,MORTGAGE,debt_consolidation,1-3,0
51,65891.86,21059.39,12.37,36,38.96,0,11.1,RENT,other,5-10,1
55,78452.79,32065.28,17.01,36,6.67,0,0.5,OWN,debt_consolidation,5-10,1
25,73200.75,14504.93,18.16,36,42.23,1,11.0,OWN,credit_card,3-5,0
36,98328.9,4244.84,14.02,36,24.89,0,11.5,RENT,home_improvement,5-10,0
58,44731.21,4242.04,20.57,60,31.86,1,4.6,MORTGAGE,debt_consolidation,3-5,0
61,32417.01,21212.52,10.57,36,30.68,2,3.4,RENT,major_purchase,10+,0
42,40113.3,14522.03,5.47,36,28.17,0,4.6,RENT,major_purchase,5-10,1
60,73208.85,22014.65,16.21,60,38.62,0,0.5,MORTGAGE,debt_consolidation,10+,0
62,69958.46,10730.93,5.0,60,11.18,0,6.7,MORTGAGE,small_business,1-3,0
39,62045.13,21644.99,8.98,36,20.44,0,8.9,RENT,credit_card,5-10,0
65,37540.86,13733.61,14.08,60,13.47,0,3.1,MORTGAGE,debt_consolidation,10+,0
35,75337.35,9139.97,11.59,36,5.04,0,11.9,RENT,home_improvement,1-3,0
32,35505.9,11792.01,11.24,36,15.39,0,8.4,MORTGAGE,major_purchase,3-5,0
